username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags
Ben_Theretoo406,man,,Chevy Chase-Maryland,2013,756,679,6,2,3,58,369,248,"['Foodie', 'Urban Explorer', 'History Buff', 'Nature Lover']"
SKoumourdas222,,,,2016,12,28,4,0,2,1,6,20,"['Foodie', 'Like a Local', 'History Buff', 'Peace and Quiet Seeker']"
Dobbstraveler,,,Dobbs Ferry-New York,2011,139,424,6,0,2,29,227,166,[]
2014Anna714,Woman,,Melbourne-Australia,2012,57,129,6,6,5,36,49,33,[]
tkalinova,woman,25-34,Sofia-Bulgaria,2008,246,15,4,0,0,0,4,11,[]
Fernweh07,woman,18-24,Miami-Florida,2011,34,86,6,0,0,4,12,71,"['Foodie', 'Urban Explorer', 'Like a Local']"
BeachStone2C,Man,,Helsinki-Finland,2015,367,650,6,8,101,392,744,410,"['Like a Local', 'History Buff', 'Thrill Seeker', 'Nature Lover']"
Curiosity715521,,,,2017,,2,1,,,,,,[]
Q8569KVpeterb,,,,2018,2,3,1,0,0,0,0,3,[]
andrewwS587CV,Man,,Shell Cove-Australia,2015,29,53,6,0,1,3,12,43,[]
222anastasia,,,Manchester-United Kingdom,2018,7,13,3,0,0,0,1,13,[]
d0ssies,Woman,,Caloundra-Australia,2009,179,64,5,1,1,5,23,36,[]
305halm,,,Lexington-Kentucky,2015,3,4,1,0,0,0,1,3,[]
IkiK86,Woman,,Kitchener-Canada,2015,32,58,5,0,2,12,23,27,[]
honorh613,,,,2018,11,59,5,0,0,2,8,49,[]
Chicagonative_7,man,50-64,Chicago,2007,184,896,6,27,63,192,344,275,"['Urban Explorer', 'Nature Lover', 'Peace and Quiet Seeker']"
bmoactress,,,Chicago-IL,2004,140,33,4,0,0,0,8,26,[]
ltcAtlanta,man,,Lilburn-Georgia,2010,11,15,3,0,0,2,2,13,[]
EdL211,,,New York City-New York,2012,56,89,6,2,1,13,41,32,[]
V5312MVmartind,Man,,Purmerend-The Netherlands,2015,27,32,4,0,0,6,14,12,[]
Star2406,woman,35-49,Calgary-Canada,2012,77,60,5,1,1,5,25,30,[]
MarlymyTonk,,,New York,2006,21,11,3,0,0,0,1,10,[]
Tommy956,man,50-64,Stuttgart,2010,13,13,3,1,0,1,4,7,[]
mauricechami,,,Peine-Germany,2018,4,14,3,0,0,0,12,4,[]
constantinosm814,man,35-49,Athens-Greece,2016,10,17,3,0,2,2,11,3,[]
leoa91,Man,,London-United Kingdom,2012,363,59,5,0,2,6,14,37,[]
Sightseer693582,,,Brunswick Heads-Australia,2017,8,15,3,0,0,0,1,14,[]
cornelian602,,,,2018,5,15,3,0,2,4,8,2,[]
katarzynag695,,,,2018,6,10,3,0,0,1,4,6,[]
la_vera_mahshid,woman,35-49,Tokyo,2008,105,99,6,0,2,13,39,49,[]
Oponz,,35-49,Auckland Central-New Zealand,2009,97,79,5,2,14,14,35,14,[]
javierpO8624OF,,,,2017,6,9,2,0,0,1,3,5,[]
LynetteLJY,,,Singapore-Singapore,2018,7,14,3,0,0,2,5,8,[]
ScottB715,Man,,Arlington-Virginia,2012,191,478,6,8,19,78,173,202,"['Urban Explorer', 'Nature Lover', 'Eco-tourist', 'Beach Goer']"
divarose1,woman,25-34,Ukiah-California,2007,75,74,5,0,1,12,38,23,[]
marinacouvaras,,,,2018,9,12,3,0,0,0,0,14,[]
montgomcl,,,Florence-South Carolina,2010,245,14,3,0,0,1,1,13,[]
Skydiva2800,,,Miami-Florida,2011,125,17,3,0,0,0,7,11,[]
L9812VQjohnt,Man,,Lesbos-Greece,2010,58,8,4,1,0,1,0,6,[]
alabao2017,,,,2017,18,16,3,0,0,1,9,6,[]
kathymA4056RY,,,,2015,2,4,2,0,0,0,1,3,[]
busher1441,,,Winchester-United Kingdom,2017,133,36,5,0,0,7,10,20,[]
kalaheotraveler,,,Kalaheo-Hawaii,2008,82,27,4,2,0,3,6,18,[]
johnmT4233YS,Man,,La Fortuna de San Carlos-Costa Rica,2014,24,30,4,1,1,3,21,6,[]
Mancini_BXL,man,25-34,Brussels-Belgium,2011,72,67,5,0,2,10,25,31,[]
866krisr,,,Hood River-Oregon,2013,47,149,6,0,0,18,82,51,[]
SussexSteve,man,,Worthing-United Kingdom,2007,36,62,5,0,1,7,32,22,[]
madaboutusa,,,Australia,2011,9,15,3,0,0,1,7,7,[]
twhite19,,,Wilson-New York,2010,414,104,6,0,0,2,29,73,[]
335kimberleyp,,,Grimsby-United Kingdom,2015,33,51,5,4,4,9,22,14,[]
sm-in-to,,,Toronto -Ontario,2005,28,73,5,6,4,7,19,37,[]
comeflywithmeFlorida,man,50-64,Florida,2010,640,429,6,8,17,71,148,199,"['Foodie', 'Urban Explorer', 'Like a Local', 'History Buff']"
boskindopreis,,,,2014,8,8,2,1,0,2,2,4,[]
ASinHONGKONG,man,50-64,Hong Kong-China,2014,21,70,5,2,8,16,21,23,[]
637vidae,,,,2016,7,30,4,1,0,6,9,15,[]
739kristinat,,,Iowa,2014,12,32,4,0,0,0,16,18,[]
normap197,,,Plymouth-Minnesota,2013,24,52,5,1,1,5,19,27,[]
Helene_Zia,,,Strasbourg-France,2018,,5,2,0,0,0,0,5,[]
AngeloPasto,,,Montreal-Canada,2011,109,90,5,0,3,10,36,42,[]
ezmmyi,,,,2018,2,7,2,0,0,0,0,7,[]
debwilltravel,woman,35-49,Saint Louis-Missouri,2010,25,44,5,0,0,2,18,27,[]
911liza,Woman,,Los Angeles-California,2014,43,96,6,1,1,5,23,66,[]
3waytieforlast,Man,,Portland-Oregon,2013,217,199,6,4,4,25,65,102,[]
495drewj,,,Charlottesville-Virginia,2015,18,31,4,3,0,1,4,24,[]
James_Photo_79,man,35-49,Smyrna-Georgia,2012,84,59,5,1,2,5,23,29,"['Foodie', 'Like a Local', 'History Buff', 'Thrill Seeker']"
pnd5251,Man,,Adelaide-Australia,2018,21,65,5,1,5,4,11,44,[]
joannea344,,,Colville-Washington,2017,13,25,4,3,0,0,2,20,[]
lhcyberdiva,woman,50-64,Chicago-Illinois,2014,75,49,5,1,1,2,6,40,[]
carmelpwaters,woman,,Melton Mowbray-United Kingdom,2010,9,17,3,0,0,0,1,17,[]
176paulad,,,,2014,20,26,4,0,0,1,1,24,[]
Dmctimm,woman,50-64,WI,2008,144,194,6,0,2,16,56,122,[]
jacquelineaN1910UH,,,,2018,3,4,1,0,0,1,0,3,[]
vrisi14,,,Athens-Greece,2016,6,13,3,0,0,0,3,10,[]
Miggro,,35-49,Groningen-The Netherlands,2015,159,429,6,8,22,94,178,127,"['Foodie', 'Urban Explorer', 'Peace and Quiet Seeker']"
BanaRae,,,Detroit-Michigan,2017,9,10,3,0,0,0,2,8,[]
bobfinboulder,Man,,Lakewood-Colorado,2015,7,33,4,0,1,6,11,15,[]
rotelharp,woman,25-34,Manchester-United Kingdom,2012,90,520,6,11,49,100,229,135,[]
hkygoalie30,man,25-34,Chicago-Illinois,2017,20,43,4,0,0,1,16,24,[]
adamw458,,,,2013,5,6,2,0,0,0,2,4,[]
penguin001,man,50-64,St. Lucia,2010,36,54,5,3,6,8,13,24,[]
PB0107,,,Boca Raton-Florida,2014,38,165,6,0,2,12,89,62,[]
shedee,,35-49,Brisbane-Australia,2007,144,208,6,3,7,66,94,40,[]
jannicel2017,,,Hamburgsund-Sweden,2012,108,128,6,1,4,38,52,33,[]
luciak859,woman,50-64,Miami-Florida,2012,43,67,5,2,4,7,19,37,[]
Inspire158127,,,,2009,5,9,3,0,0,0,1,9,[]
133AndrewB133,,,Gislingham-United Kingdom,2013,19,20,3,0,0,1,14,5,[]
FrequentFlier516395,,,Lima-Peru,2014,4,4,1,0,0,0,0,4,[]
508karenh508,,,Surfers Paradise-Australia,2013,134,333,6,3,11,62,160,103,[]
mswain28,woman,35-49,Chicago-IL,2008,121,107,6,2,3,2,18,82,[]
chrissL3660XV,,,St. Petersburg-Florida,2018,3,4,2,0,0,0,1,3,[]
EleniB141,,,,2012,9,12,3,0,0,3,5,5,[]
511geris,,,,2014,18,25,4,0,0,1,0,24,[]
Linehand11,,,Visalia-California,2016,45,97,6,0,0,4,46,47,[]
Linda829,,,Vernon-Canada,2013,31,65,5,0,3,7,15,41,[]
victooria11,woman,18-24,Langley-Canada,2018,14,14,3,0,0,0,7,7,[]
ChicaEmery,man,35-49,Port of Spain-Trinidad,2015,59,209,6,0,2,44,108,65,[]
