username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags,geocode
_the_mimi-ov,,,Sofia-Bulgaria,2012,162.0,23.0,4.0,0.0,1.0,1.0,8.0,14.0,[],BG
likwidsnd,,,Waretown-New Jersey,2017,74.0,111.0,6.0,3.0,3.0,13.0,27.0,71.0,[],US
nadeeml2018,,,,2018,6.0,9.0,2.0,1.0,0.0,0.0,1.0,7.0,[],
tommX4148OW,,,Dublin-Ireland,2009,201.0,115.0,6.0,0.0,0.0,10.0,68.0,37.0,[],IE
878joannew,,,West Vancouver-Canada,2016,18.0,47.0,4.0,0.0,0.0,6.0,3.0,38.0,[],CA
toddc214,,,Xantippe-Australia,2014,5.0,5.0,2.0,1.0,0.0,1.0,1.0,2.0,[],AU
HereForTheCulture,,,Vancouver-Canada,2010,5.0,9.0,2.0,0.0,0.0,3.0,2.0,4.0,[],CA
Jmvillafana,Man,,Naucalpan-Mexico,2011,60.0,401.0,6.0,12.0,11.0,35.0,107.0,236.0,[],MX
Rasand,woman,50-64,Penrith-Australia,2007,72.0,101.0,6.0,1.0,0.0,14.0,47.0,41.0,[],AU
DennisWK,man,50-64,London-United Kingdom,2010,42.0,171.0,6.0,0.0,3.0,37.0,84.0,48.0,[],GB
stephenhL2386IW,,,Peterborough-United Kingdom,2014,5.0,8.0,2.0,0.0,0.0,1.0,0.0,7.0,[],GB
Sea_Nymph77,woman,35-49,Milazzo-Italy,2008,470.0,62.0,5.0,0.0,0.0,13.0,35.0,14.0,[],IT
Nerodic,Man,,Koprivnica-Croatia,2016,14.0,21.0,4.0,0.0,0.0,0.0,0.0,21.0,[],HR
chhoti_khajuria,woman,25-34,London-United Kingdom,2016,13.0,40.0,5.0,0.0,0.0,6.0,26.0,9.0,[],GB
Daisy1234,,,,2018,7.0,13.0,3.0,1.0,1.0,2.0,2.0,7.0,[],
flgafl1,woman,35-49,Florida,2009,107.0,78.0,6.0,4.0,8.0,14.0,17.0,36.0,"['Like a Local', 'Thrill Seeker', 'Thrifty Traveler']",US
EriannaM2011,,,,2016,17.0,31.0,4.0,1.0,0.0,3.0,9.0,18.0,[],
76kristofferl,,,Gothenburg-Sweden,2014,37.0,92.0,5.0,1.0,1.0,23.0,40.0,27.0,[],SE
piyushmohnot,,,Jodhpur-India,2018,16.0,22.0,4.0,0.0,1.0,1.0,15.0,5.0,[],IN
aroundtheworld247365,,,Cape Town-South Africa,2016,108.0,639.0,6.0,14.0,12.0,90.0,221.0,312.0,[],ZA
JamphoneTravels,Man,,St. John's-Canada,2015,26.0,11.0,3.0,0.0,0.0,0.0,1.0,11.0,[],CA
98kao,,,Verwood-United Kingdom,2016,7.0,14.0,3.0,0.0,0.0,0.0,4.0,10.0,[],GB
PaoloComo83,man,25-34,Barcelona-Spain,2010,100.0,329.0,6.0,0.0,5.0,43.0,141.0,140.0,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']",ES
dakotam_13,,,Phoenix-Arizona,2013,53.0,264.0,6.0,1.0,14.0,71.0,148.0,37.0,[],US
MumbaiRiders,man,50-64,Mumbai-India,2011,288.0,791.0,6.0,1.0,4.0,61.0,371.0,357.0,[],IN
Kat3063,,,Green Bay-Wisconsin,2014,8.0,9.0,2.0,0.0,0.0,1.0,5.0,3.0,[],US
